,age,gender,department,academic_year,current_residence,study_preference,gpa,sleep_hours,sport_hours,cigarettes_per_day,coffee_cups,department_satisfaction,development_obstacles,job_search_duration,higher_education,work_style,country_preference,sector_preference,field_preference,city_preference,salary_expectation
248,24,Female,Computer Engineering,4,Student House,Study room or Cafe in campus,2.01-2.50,Between 6-7 hours,0.0,0.2,1.0,7,Limited job opportunities ,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Abroad,Private Sector,Department's field sector,Seattle,100.0
249,20,Female,Electrical and Electronics Engineering,2,On-campus,In the library,2.51-3.00,Between 6-7 hours,1.0,0.0,5.0,7,Have no trust in myself.,3-6 Months,"No, I do not plan to pursue further education.",Hybrid,Abroad,Private Sector,Department's field sector,London,65.0
250,20,Prefer not to say,Computer Engineering,3,On-campus,In the library,3.01-3.50,Between 7-8 hours,5.0,0.0,2.0,7,None,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Not sure yet,Department's field sector,Istanbul Sonra Berlin,40.0
251,20,Female,Computer Engineering,2,On-campus,Study room or Cafe in campus,2.01-2.50,Between 6-7 hours,7.0,15.0,3.0,7,None,3-6 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Abroad,Private Sector,Department's field sector,Istanbul,40.0
252,22,Male,Computer Engineering,3,With family,Study room or Cafe in campus,3.01-3.50,Between 6-7 hours,6.0,0.0,1.0,7,Money,0-3 Months,I am considering further education but haven’t decided yet.,Remote,Abroad,Private Sector,Department's field sector,Not Sure,60.0
253,21,Male,Electrical and Electronics Engineering,3,On-campus,Study room or Cafe in campus,3.01-3.50,Between 6-7 hours,0.0,0.0,0.0,2,None,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Academy,Department's field sector,None,300.0
254,21,Female,Electrical and Electronics Engineering,3,With family,Study room or Cafe in campus,3.01-3.50,Between 5-6 hours,0.0,0.0,1.0,6,"Public transportation and the time I've lost in it. Also the overwork that we have to complete. There are always some tasks that I have to finish, always. I didn't have any free weekend since the beginning of the semester",0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Academy,Department's field sector,"Istanbul, London, New York, Ankara",80.0
255,20,Female,Electrical and Electronics Engineering,3,With family,At home,3.51-4.00,Between 6-7 hours,1.0,0.0,0.0,8,"Sleep
Making mistakes due to carelessness in exams",0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Abroad,Not sure yet,Department's field sector,Massachusets,90.0
256,21,Male,Mechanical Engineering,3,On-campus,In the dorm ,3.01-3.50,Between 6-7 hours,4.0,0.0,0.0,7,Lack of proficiency in Turkish Language,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Not sure yet,Department's field sector,Ankara,70.0
257,22,Male,Electrical and Electronics Engineering,3,On-campus,Study room or Cafe in campus,2.51-3.00,Between 6-7 hours,4.0,0.0,1.0,7,None,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Not sure yet,Department's field sector,Istanbul,70.0
258,21,Male,Electrical and Electronics Engineering,3,On-campus,Study room or Cafe in campus,0-2.00,Between 6-7 hours,3.0,0.0,0.0,3,Difficulty of the department ,6-12 Months,"No, I do not plan to pursue further education.",Face-to-face,Open to both,Not sure yet,Department's field sector,Anywhere,33.0
259,21,Female,Electrical and Electronics Engineering,2,With family,At home,2.01-2.50,Between 6-7 hours,1.0,0.0,0.0,7,living far away from campus,0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Open to both,Private Sector,Department's field sector,Ankara,55.0
260,22,Male,Electrical and Electronics Engineering,4,Student House,In the library,3.01-3.50,Between 7-8 hours,2.0,0.0,1.0,7,None,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Not sure yet,Department's field sector,None,85.34
261,20,Female,Electrical and Electronics Engineering,3,With family,At home,3.01-3.50,Between 5-6 hours,2.0,0.0,4.0,9,"Lack of a motivation to be better, or the thought that no matter how hard I try it won't make a difference and Im just not who I try to make myself out to be",0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Not sure yet,Department's field sector,Ankara,50.0
262,21,Male,Electrical and Electronics Engineering,3,With family,At home,2.51-3.00,Between 5-6 hours,4.0,0.0,1.0,8,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Türkiye,Private Sector,Department's field sector,Ankarq,70.0
264,21,Male,Electrical and Electronics Engineering,3,On-campus,Study room or Cafe in campus,2.51-3.00,Between 7-8 hours,2.0,0.0,0.0,5,Too many distractions like phone,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Türkiye,Private Sector,Department's field sector,Tokat,75.0
265,22,Male,Electrical and Electronics Engineering,4,Student House,At home,2.51-3.00,Between 7-8 hours,10.0,0.0,2.0,6,"Too theoretical, not enough practical",0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Public Sector,Not sure yet,Ankara,60.0
266,19,Female,Electrical and Electronics Engineering,2,With family,Study room or Cafe in campus,3.01-3.50,Between 7-8 hours,3.0,0.0,1.0,8,None,3-6 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Open to both,Not sure yet,Department's field sector,None,85.34
267,23,Male,Electrical and Electronics Engineering,4,On-campus,Study room or Cafe in campus,3.01-3.50,Between 7-8 hours,0.0,0.0,2.0,7,Hocalar,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Academy,Department's field sector,Antalya,65.0
268,21,Male,Electrical and Electronics Engineering,3,With family,Study room or Cafe in campus,3.01-3.50,Between 7-8 hours,6.0,0.0,1.0,4,The competition inside the department makes it hard to do anything else but study.,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Not sure yet,Department's field sector,"For Turkey, Probably Ankara",60.0
269,23,Male,Electrical and Electronics Engineering,3,On-campus,In the library,0-2.00,Between 7-8 hours,5.0,0.0,1.0,8,economical problems and myself,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Türkiye,Not sure yet,Department's field sector,Ankara,85.0
270,20,Female,Electrical and Electronics Engineering,1,With family,Other,0-2.00,Between 7-8 hours,0.0,0.0,0.0,7,my laziness,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Not sure yet,Istanbul,85.34
271,21,Male,Electrical and Electronics Engineering,3,On-campus,In the dorm ,2.01-2.50,Between 7-8 hours,2.0,0.0,0.5,7,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Not sure yet,Department's field sector,Istanbul,50.0
272,20,Female,Electrical and Electronics Engineering,2,With family,Study room or Cafe in campus,3.51-4.00,Between 7-8 hours,0.0,0.0,1.0,6,None,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Abroad,Private Sector,Department's field sector,None,85.34
273,20,Female,Chemical Engineering,1,With family,Other,I don't have a GPA yet,Between 6-7 hours,1.0,0.0,0.0,8,resource shortage,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Türkiye,Not sure yet,Department's field sector,Ankara,60.0
274,21,Male,Electrical and Electronics Engineering,4,On-campus,In the dorm ,3.01-3.50,Between 7-8 hours,3.0,0.0,2.0,7,time management,0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Not sure yet,Not sure yet,Department's field sector,Ankara,75.0
275,21,Female,Electrical and Electronics Engineering,3,On-campus,In the dorm ,3.01-3.50,Between 6-7 hours,6.0,0.0,2.0,2,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Not sure yet,Academy,Not sure yet,None,85.34
276,24,Female,Electrical and Electronics Engineering,4,Student House,At home,3.01-3.50,Between 6-7 hours,1.0,0.0,0.0,6,None,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Not sure yet,Not sure yet,Ankara,80.0
277,23,Male,Electrical and Electronics Engineering,4,With family,At home,2.01-2.50,Between 7-8 hours,4.0,0.0,0.3,5,My lack of interest in the subjects related to my department,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Abroad,Private Sector,Different sector,San Francisco,60.0
279,21,Female,Computer Engineering,1,With family,At home,3.01-3.50,Between 5-6 hours,5.0,0.0,3.0,7,Hocaların anlayışsız davranışları ,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Private Sector,Department's field sector,"Ankara , Istanbul",80.0
280,20,Female,Computer Engineering,1,On-campus,In the dorm ,I don't have a GPA yet,Between 6-7 hours,0.0,0.0,1.0,8,Derslerde bize ogretilenden daha cok seyi bilmemizin beklenmesi,0-3 Months,"Yes, I plan to pursue a Master's degree.",Remote,Open to both,Private Sector,Not sure yet,Antalya,150.0
281,20,Male,Electrical and Electronics Engineering,2,On-campus,In the library,3.51-4.00,Between 6-7 hours,10.0,0.0,1.0,9,None,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Türkiye,Private Sector,Department's field sector,Ankara,150.0
282,22,Male,Electrical and Electronics Engineering,3,On-campus,In the library,2.51-3.00,Between 7-8 hours,0.0,15.0,0.0,5,"Hard exams, high competition",0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Open to both,Private Sector,Department's field sector,Ankara,90.0
283,19,Female,Electrical and Electronics Engineering,1,On-campus,In the dorm ,I don't have a GPA yet,Between 6-7 hours,7.0,0.0,0.0,9,My motivation is not stable and I can easily be sad. When I am sad I don't want to study,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Not sure yet,Not sure yet,Department's field sector,"If I Work In Turkiye, I Might Prefer Ankara",70.0
284,22,Female,Mechanical Engineering,2,With family,Study room or Cafe in campus,2.01-2.50,Between 8-9 hours,2.0,0.0,3.0,7,Myself,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Not sure yet,Department's field sector,Not Sure,80.0
287,22,Female,Industrial Engineering,4,KYK,Study room or Cafe in campus,2.51-3.00,Between 6-7 hours,3.0,0.0,0.0,8,I spend a lotus of time to reach campus from my KYK dormitory.,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Private Sector,Department's field sector,Ankara,50.0
288,22,Female,Chemical Engineering,3,On-campus,Study room or Cafe in campus,3.01-3.50,Between 6-7 hours,1.0,0.0,3.0,7,Overloaded schedules,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Department's field sector,"In Turkey, Izmir. In A Different Country, Depends On The Country And The Job",60.0
289,23,Female,Industrial Engineering,4,On-campus,In the library,2.51-3.00,Between 5-6 hours,1.0,0.0,2.0,8,"money, not having a car;thus losing a lot of time commuting to the library, department, other places etc.",0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Türkiye,Not sure yet,Not sure yet,Ankara,70.0
290,21,Male,Electrical and Electronics Engineering,4,Student House,Study room or Cafe in campus,2.51-3.00,Between 8-9 hours,0.0,0.0,0.0,3,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Türkiye,Private Sector,Department's field sector,Ankara,60.0
